香港频道,#genre#  
Hollywood Movies,id=hollywoodmovies_twn  
CCTV-6,id=cctv6  
CINEMAX,id=cinemax_twn  
Cinemax,id=Cinemax  
AXN Taiwan,id=axn_twn  
大爱2台,id=daai2_twn  
东森电影 ETTV Movie,id=ettvmovie  
东森洋片 ETTV Western,id=ettvwestern  
龙华洋片 Lunghua Western,id=lunghuawestern_twn  
Animax,id=Animax  
龙详时代,id=lungxiangtime_twn  
Movies Now HD,id=moviesnow_raj  
Star Movies HD,id=starmovies_raj  
卫视中文台 Star Movies Chinese,id=weishichinese_twn  
HBO Family,id=Hbofamily  
Hits,id=Hits  
Warner TV,id=WarnerTV  
卫视电影台,id=weishimovie_twn  
HBO HD,id=Hbo  
美亚电影,id=meiyamovie_twn  
HBO Signature,id=Hbosignature  
HBO Hits,id=Hbohitshd  
星卫电影,id=xingwei_movie  
SCM,id=Weishimovie  
Dreamworks,id=Dreamworks  
Thrill,id=Thrill  
Hits Movie,id=Hitsmovie  
One,id=One  
tvN Movie,id=Tvnmovie  
Celestial Classic,id=Celestial2  
Celestial Movies HD,id=Celestialindo  
Axn HD,id=Axn  
Paramount Network,id=Paramountnetwork  
Astrol Kplus,id=Kplus  
Rock Actions,id=Rockaction  
Rock Entertainment,id=Rockentertain  

纪录频道,#genre#  
Natgeo_HD,id=natgeohd_twn  
NatGeo_Wild HD,id=natgeowild_twn  
Animal_Planet,id=animalplanet_twn  
Discovery Asia,id=discoverytwn_twn  
CI,id=ci_twn  
Asia Travel,id=asiatravel_twn  
Discovery HD,id=discoveryhd_twn  
亚洲美食,id=afc_twn  
美食星球,id=foodplanet_twn  
亚洲旅游 TLC Asia,id=tlc_twn  
NatGeo HD,id=Natgeo  
Fashion TV,id=fashiontv_twn  
History,id=History  
BBC Earth HD,id=bbcearth_twn  
BBC Earth Lifestyle,id=bbclifestyle_twn  
MTV Live,id=mtvhd_twn  
NatGeo Wild HD,id=Natgeowild  
Animal Planet (Eng),id=AnimalPlanet  
TLC,id=Tlc  
